Length (mm),Current (mA),Power (W)
1.5,0,0.001898454
1.5,1,0.00193019
1.5,2,0.0019697
1.5,3,0.002024417
1.5,4,0.00209363
1.5,5,0.002170701
1.5,6,0.002312597
1.5,7,0.002383966
1.5,8,0.002461501
1.5,9,0.002543314
1.5,10,0.00262301
1.5,11,0.002767579
1.5,12,0.002847082
1.5,13,0.002925499
1.5,14,0.003088161
1.5,15,0.003249376
1.5,16,0.003331195
1.5,17,0.003410358
1.5,18,0.003580964
1.5,19,0.003662689
1.5,20,0.003741106
1.5,21,0.003826485
1.5,22,0.003917419
1.5,23,0.004005899
1.5,24,0.004099208
1.5,25,0.004194691
1.5,26,0.004380261
1.5,27,0.004481259
1.5,28,0.004581419
1.5,29,0.004775293
1.5,30,0.004878654
1.5,31,0.005093309
1.5,32,0.005208348
1.5,33,0.005327212
1.5,34,0.00545381
1.5,35,0.005582131
1.5,36,0.005850595
1.5,37,0.005991009
1.5,38,0.006136207
1.5,39,0.006290715
1.5,40,0.006449113
1.5,41,0.006770177
1.5,42,0.006945444
1.5,43,0.007133456
1.5,44,0.007338377
1.5,45,0.007559621
1.5,46,0.007787535
1.5,47,0.012050359403717974
1.5,48,0.012072577443348746
1.5,49,0.012456613801138876
1.5,50,0.01680351
1.5,51,0.016830616
1.5,52,0.017123794212449275
1.5,53,0.021232445
1.5,54,0.021291193159295042
1.5,55,0.021423972391272323
1.5,56,0.026570516703550703
1.5,57,0.026650170999467638
1.5,58,0.031455746774318935
1.5,59,0.031491982
1.5,60,0.031841975
1.5,61,0.037835546
1.5,62,0.037914034
1.5,63,0.038097809
1.5,64,0.042344792
1.5,65,0.047282453
1.5,66,0.047326021860900375
1.5,67,0.052360044
1.5,68,0.052396225
1.5,69,0.052517010964041315
1.5,70,0.058411720709283035
1.5,71,0.058600321675105586
1.5,72,0.058830156
1.5,73,0.063811654
1.5,74,0.063826349
1.5,75,0.067982949
1.5,76,0.068061262
1.5,77,0.0682653
1.5,78,0.074045727
1.5,79,0.074096893
1.5,80,0.074199333
1.5,81,0.079158945
1.5,82,0.084139514
1.5,83,0.084197656
1.5,84,0.084372322
1.5,85,0.088756466
1.5,86,0.088838251
1.5,87,0.093777791
1.5,88,0.093777791
1.5,89,0.093885819
1.5,90,0.094102248
1.5,91,0.10041301329039329
1.5,92,0.10043844955739159
1.5,93,0.10069316688518039
1.5,94,0.10646822163503651
1.5,95,0.10650745320371707
1.5,96,0.1066227795592155
1.5,97,0.11219926191697331
1.5,98,0.11225094348576792
1.5,99,0.11238283926249308
1.5,100,0.11765218576672265
1.5,101,0.11775517440102964
1.5,102,0.12372572290852663
1.5,103,0.12372572290852663
1.5,104,0.12387395391528759
1.5,105,0.12400808473164374
1.5,106,0.128478365
1.5,107,0.12851386943661913
1.5,108,0.12877453786598395
1.5,109,0.13342585669994597
1.5,110,0.13348731572805547
1.5,111,0.13364108718068368
1.5,112,0.13385666485169612
1.5,113,0.13892167147312623
1.5,114,0.143585307
1.5,115,0.1436216791612059
1.5,116,0.14372423311104182
1.5,117,0.1438997369357019
1.5,118,0.14947893673844687
1.5,119,0.14972006259073753
1.5,120,0.14990288801303575
1.5,121,0.15407068022844772
1.5,122,0.1541061603982526
1.5,123,0.15856232308335483
1.5,124,0.15860614152579067
1.5,125,0.15871939522381667
1.5,126,0.1588912567118861
1.5,127,0.15910726117949756
1.5,128,0.16399099465315709
1.5,129,0.16891569327806588
1.5,130,0.16893903145561184
1.5,131,0.16902463236415266
1.5,132,0.16917648604041396
1.5,133,0.17369607306780574
1.5,134,0.17375607592761969
1.5,135,0.17387614383790675
1.5,136,0.17907295489779254
1.5,137,0.17911006850772124
1.5,138,0.17921320223258325
1.5,139,0.17956430130632983
1.5,140,0.18473960044699916
1.5,141,0.1847651249291318
1.5,142,0.18499926373938747
1.5,143,0.18518678839811004
1.5,144,0.18991094725738156
1.5,145,0.19007718870007578
1.5,146,0.1941824606058895
1.5,147,0.19429874703730787
1.5,148,0.19443748726143853
1.5,149,0.19462561593612407
1.5,150,0.1997146851504444
1.5,151,0.1997468779487893
1.5,152,0.19996776840297723
1.5,153,0.2001520303667632
1.5,154,0.2001520303667632
1.5,155,0.20503122193949552
1.5,156,0.20513038729831404
1.5,157,0.2054612850190715
1.5,158,0.21013577690467478
1.5,159,0.21039722138449393
1.5,160,0.2106153402458629
1.5,161,0.21573469745499893
1.5,162,0.21586886097984193
1.5,163,0.21600808165243524
1.5,164,0.2162021458006146
1.5,165,0.22081572618505035
1.5,166,0.22086149115683207
1.5,167,0.2211362802409097
1.5,168,0.22524232418382162
1.5,169,0.22526825765754255
1.5,170,0.22535645380458394
1.5,171,0.22552256376580487
1.5,172,0.2302554932286644
1.5,173,0.2302979117647391
1.5,174,0.2305419700416061
1.5,175,0.2355971323579239
1.5,176,0.23560798225664853
1.5,177,0.23564053495092124
1.5,178,0.23573822002201483
1.5,179,0.23591741450685325
1.5,180,0.2409350591335495
1.5,181,0.24096279940415424
1.5,182,0.2410515897349132
1.5,183,0.24121260560925742
1.5,184,0.24143487297141514
1.5,185,0.24592348238462317
1.5,186,0.24603676041476275
1.5,187,0.24620110624688343
1.5,188,0.2464109482512546
1.5,189,0.2466096120542245
1.5,190,0.25117129225348617
1.5,191,0.25133328058327564
1.5,192,0.2515417048114429
1.5,193,0.25591161644041654
1.5,194,0.25595876144434976
